Entidad,Recaudo_Total,Recaudo_Anual_Medio,CV_Interanual,Tendencia_Pct,N_Anios,Tipologia,R_Lag12,R_Lag1,IEP,ERS,Semaforo
ANDALUCIA,452842543.0,90568508.6,53.95947783567841,78.95157721521761,5,Criticos,0.5025840237566325,-0.16449981607128522,-0.16051943863159632,44.130193993118326,ROJO
ANDES,2136322985.0,427264597.0,48.418381608016915,100.24094870186495,5,Consolidados,0.48982999011387357,-0.1625974999779905,0.25214755292496754,40.43204983860865,ROJO
ANGOSTURA,364337428.0,72867485.6,53.68550719481284,97.7323650097239,5,Criticos,0.5045942544332234,-0.1591650995094056,0.7704048494909352,39.53703151838525,NARANJA
ANOLAIMA,454252412.0,90850482.4,50.30805795368089,93.40807528832671,5,Criticos,0.49752140674770967,-0.153657669016794,0.45095667909832626,40.3681795803472,ROJO
ANSERMA DE LOS CABALLEROS,2366458250.0,473291650.0,70.89502686793969,131.00421030035073,5,Dependientes,0.25543439457207834,-0.11200769930066884,4.696588154655182,33.75068558251423,VERDE
ANSERMANUEVO,595465223.0,119093044.6,50.439030757511894,101.81361926488191,5,Criticos,0.5071684865861701,-0.1479521389474256,0.6298723037355335,38.99301182835652,AMARILLO
ANZA,312858030.0,62571606.0,49.42982590285606,94.560820446258,5,Criticos,0.4753630923617917,-0.16275639516572152,0.6103646647975232,40.1018239465763,NARANJA
ANZOATEGUI,432603023.0,86520604.6,50.88753480845054,105.09765612525553,5,Criticos,0.4689166993735694,-0.14841146801261929,0.640951017862908,39.83773552223272,NARANJA
APARTADO,5000147725.06,1000029545.0120001,51.32404929007569,106.31343748421374,5,Consolidados,0.6680062025021449,-0.1682512792638669,0.9332832590664651,33.686954500710314,VERDE
APULO RAFAEL REYES,201395481.0,40279096.2,54.17339734809941,103.06790101213838,5,Criticos,0.48403315705165245,-0.15979759076433755,0.9024704195055293,39.37648221418144,AMARILLO
AQUITANIA,640708393.0,128141678.6,48.42476312480234,105.45656103181405,5,Criticos,0.4852814919885028,-0.143264021258332,0.45503994927682256,39.505269798084534,NARANJA
ARACATACA,1120312037.0,224062407.4,52.27886554705448,93.45403449414158,5,Criticos,0.45610816243692714,-0.1599371074200551,0.5653748727831407,41.46609069698494,ROJO
ARANZAZU,980428009.0,196085601.8,55.06490956512173,91.10411466223218,5,Criticos,0.5646972780684921,-0.13959751957745548,0.5378240412721613,39.536254812111885,NARANJA
ARATOCA,394020268.0,78804053.6,48.4301333943851,104.7141634602411,5,Criticos,0.4725805206937058,-0.15254107623098295,0.6676311576698424,39.120148053109716,AMARILLO
